E,DOS_s,DOS_p,DOS_d,DOS_f
-20.0000000000000000,0.0000265020880579,1.9570027894172224,0.0007462675155620,0.0033462860164150
-19.9899999999999984,0.0000264236494368,1.9911604818106894,0.0007634936808646,0.0033589513134592
-19.9800000000000004,0.0000263686638472,2.0234308749716394,0.0007787644650308,0.0033738201539432
-19.9699999999999989,0.0000263172307229,2.0526127620960808,0.0007917166946246,0.0033886315235813
-19.9600000000000009,0.0000262512006833,2.0775873208784947,0.0008020261047049,0.0034012384854856
-19.9499999999999993,0.0000261543954615,2.0973396971124214,0.0008094141542158,0.0034096505128519
-19.9400000000000013,0.0000260127854085,2.1109779258827124,0.0008136537139055,0.0034120706168127
-19.9299999999999997,0.0000258146209743,2.1177487399278805,0.0008145734749367,0.0034069265474564
-19.9200000000000017,0.0000255505156548,2.1170499007283730,0.0008120609652801,0.0033928955124214
-19.9100000000000001,0.0000252134791209,2.1084387864966470,0.0008060641041689,0.0033689220370915
-19.8999999999999986,0.0000247989005707,2.0916370792713543,0.0007965912706866,0.0033342287784051
-19.8900000000000006,0.0000243044837030,2.0665315069957910,0.0007837099091619,0.0032883202952979
-19.8799999999999990,0.0000237301360498,2.0331707116726978,0.0007675437395932,0.0032309799671167
-19.8700000000000010,0.0000230778166652,1.9917584271459474,0.0007482686840025,0.0031622604310934
-19.8599999999999994,0.0000223513472952,1.9426432555112456,0.0007261076577118,0.0030824680754107
-19.8500000000000014,0.0000215561930942,1.8863054256004723,0.0007013244065801,0.0029921422701062
-19.8399999999999999,0.0000206992196870,1.8233409968633147,0.0006742165960208,0.0028920301392974
-19.8299999999999983,0.0000197884338471,1.7544440343708145,0.0006451083743066,0.0027830577710686
-19.8200000000000003,0.0000188327152823,1.6803873234485120,0.0006143426407837,0.0026662988230436
-19.8099999999999987,0.0000178415469666,1.6020022143657475,0.0005822732491127,0.0025429415106183
-19.8000000000000007,0.0000168247511512,1.5201581882509363,0.0005492573668462,0.0024142549608220
-19.7899999999999991,0.0000157922376449,1.4357427156015790,0.0005156481962532,0.0022815558789330
-19.7800000000000011,0.0000147537702062,1.3496419399382773,0.0004817882383146,0.0021461764097266
-19.7699999999999996,0.0000137187559786,1.2627226636205220,0.0004480032535117,0.0020094339841385
-19.7600000000000016,0.0000126960618663,1.1758160435673723,0.0004145970408543,0.0018726038297554
-19.7500000000000000,0.0000116938606418,1.0897033250404746,0.0003818471220882,0.0017368946951459
-19.7399999999999984,0.0000107195084502,1.0051038554836478,0.0003500013827371,0.0016034281993613
-19.7300000000000004,0.0000097794542645,0.9226655314789760,0.0003192756870544,0.0014732220748252
-19.7199999999999989,0.0000088791808113,0.8429577438892298,0.0002898524514473,0.0013471774300555
-19.7100000000000009,0.0000080231755437,0.7664668026336022,0.0002618801316396,0.0012260700235501
-19.6999999999999993,0.0000072149294342,0.6935937462832680,0.0002354735536871,0.0011105454164307
